OFFENSE,WARD,LATITUDE,LONGITUDE
ASSAULT W/DANGEROUS WEAPON,5,38.9196974243,-76.9705258
THEFT F/AUTO,1,38.9148300665,-77.0229435682
THEFT F/AUTO,2,38.9079031095,-77.0442308541
THEFT F/AUTO,2,38.9084886791,-77.0434382136
THEFT F/AUTO,1,38.9148303703,-77.0249767573
THEFT F/AUTO,4,38.9636672514,-77.0308411183
THEFT F/AUTO,2,38.9067032936,-77.0380762429
MOTOR VEHICLE THEFT,6,38.9031833131,-76.9943555449
THEFT/OTHER,5,38.8995348016,-76.9732778229
THEFT F/AUTO,8,38.8269241248,-77.0057182358
THEFT/OTHER,1,38.916996806,-77.0265135526
THEFT F/AUTO,5,38.9162847926,-77.0070085509
THEFT/OTHER,7,38.8834680856,-76.9836550582
ROBBERY,2,38.9096451254,-77.0234553202
THEFT F/AUTO,1,38.91628428,-77.0307876495
THEFT F/AUTO,6,38.9010401346,-76.9902432023
THEFT F/AUTO,5,38.9225778438,-76.9681523939
ROBBERY,6,38.8764612141,-77.0187454578
ASSAULT W/DANGEROUS WEAPON,2,38.9099274291,-77.0436069637
ROBBERY,1,38.9318886881,-77.0345909353
THEFT F/AUTO,7,38.9032622303,-76.9337578133
ASSAULT W/DANGEROUS WEAPON,8,38.8694785022,-76.9802834352
ASSAULT W/DANGEROUS WEAPON,1,38.9170000824,-77.0307861136
THEFT/OTHER,7,38.8986142204,-76.974824299
THEFT/OTHER,6,38.8819958778,-76.9949767181
THEFT F/AUTO,7,38.8831988817,-76.9253213948
THEFT/OTHER,6,38.8951066256,-76.9949622947
BURGLARY,2,38.9140926905,-77.032602868
MOTOR VEHICLE THEFT,5,38.9448299723,-76.9980794642
THEFT/OTHER,2,38.9031438349,-77.0396671484
THEFT/OTHER,3,38.9599119666,-77.085288276
THEFT F/AUTO,7,38.8758101274,-76.9688037601
THEFT F/AUTO,5,38.9428664985,-76.9914325169
THEFT/OTHER,2,38.9060618647,-77.0413573339
THEFT/OTHER,5,38.9111104443,-77.0077995761
THEFT F/AUTO,7,38.8707295514,-76.9615601463
THEFT/OTHER,3,38.9492466458,-77.0802982386
THEFT F/AUTO,4,38.9466852426,-77.036429645
THEFT/OTHER,6,38.8954551825,-77.0111885512
THEFT/OTHER,5,38.9201570109,-76.9903059701
THEFT/OTHER,4,38.9748378665,-77.014324859
THEFT/OTHER,1,38.9287433544,-77.033639334
THEFT F/AUTO,8,38.8666885707,-76.9871782061
THEFT F/AUTO,4,38.9915178735,-77.0416562713
THEFT/OTHER,6,38.8957734248,-76.994960288
THEFT/OTHER,7,38.8911251955,-76.9385860009
THEFT/OTHER,5,38.9103382258,-76.9853819774
ROBBERY,5,38.9503280271,-76.9938120269
ASSAULT W/DANGEROUS WEAPON,1,38.9244818313,-77.033182611
ROBBERY,5,38.953089945,-77.0006269086
THEFT F/AUTO,2,38.9039730603,-77.0633534895
ASSAULT W/DANGEROUS WEAPON,7,38.8748873086,-76.9656012603
MOTOR VEHICLE THEFT,4,38.938148387,-77.024583415
THEFT F/AUTO,2,38.9039730603,-77.0633534895
THEFT/OTHER,6,38.8832309303,-76.9949741689
ROBBERY,7,38.8828353586,-76.9829358668
THEFT/OTHER,1,38.916996806,-77.0265135526
THEFT/OTHER,6,38.8884107639,-76.9902397381
THEFT F/AUTO,4,38.9615008694,-77.0259683162
ROBBERY,1,38.9175583612,-77.02498786
MOTOR VEHICLE THEFT,5,38.9287990063,-77.0044931979
ROBBERY,4,38.9619795615,-77.0279498335
THEFT F/AUTO,5,38.9210349889,-76.9709192817
THEFT/OTHER,2,38.9096515756,-77.0332543444
HOMICIDE,8,38.8646640502,-76.9775289645
THEFT/OTHER,2,38.9079033735,-77.022943646
SEX ABUSE,2,38.8983271763,-77.0507836138
THEFT F/AUTO,8,38.8442149347,-76.9849304874
THEFT F/AUTO,4,38.9642441135,-77.031945149
THEFT/OTHER,6,38.8914752702,-76.9984501044
MOTOR VEHICLE THEFT,7,38.8926536773,-76.976220248
THEFT/OTHER,6,38.8860392052,-77.0187306853
ASSAULT W/DANGEROUS WEAPON,1,38.9213728758,-77.0319014973
THEFT F/AUTO,4,38.9642441135,-77.031945149
THEFT F/AUTO,4,38.9642441135,-77.031945149
